CustomerID,Age,Gender,Tenure_Months,Contract_Type,Payment_Method,Monthly_Charges,Total_Charges,Num_Support_Calls,Avg_Login_Per_Month,Churn
CUST_1097,69,Female,15,One year,Electronic check,73.77,1106.55,3,12,0
CUST_1098,44,Male,36,One year,Bank transfer,83.91,3020.76,3,11,1
CUST_1099,40,Male,46,One year,Mailed check,82.76,3806.96,5,18,0
CUST_1100,64,Female,60,One year,Credit card,80.86,4851.6,3,5,1
CUST_1101,45,Male,9,Month-to-month,Electronic check,39.38,354.42,0,22,0
CUST_1102,18,Female,21,Month-to-month,Credit card,41.22,865.62,0,1,0
CUST_1103,38,Male,53,Month-to-month,Credit card,100.9,5347.7,1,9,1
CUST_1104,69,Male,38,Month-to-month,Mailed check,73.28,2784.64,2,17,0
CUST_1105,71,Female,25,Month-to-month,Mailed check,33.05,826.25,0,17,0
CUST_1106,60,Female,26,Month-to-month,Electronic check,76.37,1985.62,0,20,0
CUST_1107,57,Male,71,One year,Electronic check,65.76,4668.96,2,27,0
CUST_1108,49,Female,29,One year,Electronic check,72.49,2102.21,2,18,0
CUST_1109,71,Female,38,One year,Credit card,46.37,1762.06,4,23,0
CUST_1110,49,Female,34,Month-to-month,Bank transfer,118.1,4015.4,1,7,1
CUST_1111,41,Male,59,One year,Credit card,39.37,2322.83,4,3,0
CUST_1112,45,Male,8,Month-to-month,Credit card,118.99,951.92,5,11,1
CUST_1113,35,Male,7,One year,Electronic check,32.39,226.73,4,19,1
CUST_1114,35,Female,1,Two year,Credit card,60.23,60.23,1,3,0
CUST_1115,55,Female,9,Month-to-month,Credit card,49.76,447.84,1,22,0
CUST_1116,34,Female,30,Month-to-month,Mailed check,72.4,2172.0,0,18,1
CUST_1117,71,Female,4,Month-to-month,Electronic check,45.45,181.8,4,11,1
CUST_1118,38,Female,41,Month-to-month,Electronic check,66.47,2725.27,5,26,1
CUST_1119,44,Male,31,Two year,Credit card,52.57,1629.67,4,25,0
CUST_1120,27,Male,17,Month-to-month,Credit card,99.38,1689.46,5,2,1
CUST_1121,53,Male,26,Month-to-month,Bank transfer,55.98,1455.48,3,17,0
CUST_1122,57,Male,54,Month-to-month,Bank transfer,115.87,6256.98,5,5,0
CUST_1123,36,Male,62,Two year,Bank transfer,60.08,3724.96,1,2,0
CUST_1124,26,Female,17,Month-to-month,Electronic check,91.96,1563.32,1,25,0
CUST_1125,61,Male,12,Month-to-month,Credit card,102.67,1232.04,0,29,0
CUST_1126,74,Male,47,Month-to-month,Credit card,108.57,5102.79,4,17,0
CUST_1127,42,Female,12,Month-to-month,Mailed check,34.64,415.68,1,15,1
CUST_1128,33,Male,17,Month-to-month,Electronic check,72.59,1234.03,5,15,0
CUST_1129,67,Male,39,Month-to-month,Bank transfer,104.6,4079.4,0,14,0
CUST_1130,52,Female,60,Month-to-month,Bank transfer,92.67,5560.2,1,23,0
CUST_1131,21,Male,25,One year,Electronic check,109.74,2743.5,1,12,0
CUST_1132,72,Male,42,Two year,Bank transfer,108.72,4566.24,4,18,0
CUST_1133,74,Female,56,Month-to-month,Electronic check,99.14,5551.84,0,7,0
CUST_1134,18,Female,49,Month-to-month,Mailed check,56.73,2779.77,1,4,1
CUST_1135,70,Female,15,Month-to-month,Credit card,41.2,618.0,2,26,0
CUST_1136,54,Male,70,Two year,Bank transfer,115.03,8052.1,2,13,0
CUST_1137,71,Male,57,Month-to-month,Electronic check,116.15,6620.55,5,5,1
CUST_1138,64,Male,49,One year,Credit card,119.54,5857.46,4,27,0
CUST_1139,41,Male,32,Month-to-month,Electronic check,50.14,1604.48,0,9,0
CUST_1140,54,Female,11,Two year,Bank transfer,54.57,600.27,4,9,0
CUST_1141,28,Male,38,Month-to-month,Electronic check,34.39,1306.82,1,6,0
CUST_1142,65,Male,28,Month-to-month,Electronic check,35.54,995.12,4,29,0
CUST_1143,57,Male,33,Two year,Bank transfer,108.13,3568.29,3,1,1
CUST_1144,65,Male,13,Two year,Electronic check,113.71,1478.23,3,27,0
CUST_1145,74,Male,31,Two year,Mailed check,103.8,3217.8,4,7,1
CUST_1146,53,Female,12,Month-to-month,Credit card,37.57,450.84,2,17,1
CUST_1147,41,Male,35,Month-to-month,Bank transfer,98.49,3447.15,1,9,0
CUST_1148,45,Female,37,Month-to-month,Credit card,45.64,1688.68,3,18,0
CUST_1149,39,Female,50,Two year,Bank transfer,117.2,5860.0,3,27,0
CUST_1150,29,Male,29,Month-to-month,Mailed check,63.47,1840.63,2,11,1
CUST_1151,46,Female,13,Two year,Bank transfer,101.53,1319.89,4,11,1
CUST_1152,19,Male,22,Month-to-month,Bank transfer,115.58,2542.76,3,24,1
CUST_1153,37,Female,19,Month-to-month,Bank transfer,58.08,1103.52,1,28,0
CUST_1154,51,Male,35,Month-to-month,Electronic check,94.34,3301.9,1,15,1
CUST_1155,42,Male,53,Month-to-month,Bank transfer,106.03,5619.59,3,7,0
CUST_1156,61,Male,24,Two year,Bank transfer,46.69,1120.56,0,14,1
CUST_1157,26,Female,48,Month-to-month,Bank transfer,88.64,4254.72,4,21,1
CUST_1158,25,Male,64,Month-to-month,Credit card,71.81,4595.84,5,18,1
CUST_1159,62,Male,33,Two year,Electronic check,33.57,1107.81,5,19,1
CUST_1160,34,Female,46,Month-to-month,Credit card,73.41,3376.86,3,20,0
CUST_1161,50,Female,33,Two year,Mailed check,32.99,1088.67,3,26,0
CUST_1162,19,Female,46,One year,Bank transfer,48.01,2208.46,3,17,0
CUST_1163,48,Female,41,One year,Credit card,115.26,4725.66,3,20,1
CUST_1164,24,Male,4,One year,Mailed check,70.71,282.84,2,9,0
CUST_1165,29,Male,12,Month-to-month,Electronic check,85.42,1025.04,2,23,1
CUST_1166,62,Female,53,One year,Bank transfer,44.55,2361.15,5,18,0
CUST_1167,20,Female,35,Month-to-month,Mailed check,32.76,1146.6,0,7,0
CUST_1168,47,Male,31,Month-to-month,Credit card,68.29,2116.99,3,28,0
CUST_1169,53,Female,34,One year,Bank transfer,54.91,1866.94,2,26,0
CUST_1170,29,Male,18,One year,Bank transfer,51.22,921.96,1,8,0
CUST_1171,31,Female,2,Month-to-month,Electronic check,36.22,72.44,0,22,0
CUST_1172,64,Female,2,Month-to-month,Electronic check,65.2,130.4,0,28,1
CUST_1173,57,Female,56,Month-to-month,Bank transfer,70.84,3967.04,2,10,1
CUST_1174,31,Female,10,One year,Electronic check,68.78,687.8,3,8,1
CUST_1175,37,Female,37,Month-to-month,Credit card,72.72,2690.64,0,24,0
CUST_1176,45,Male,6,Month-to-month,Electronic check,33.08,198.48,5,2,1
CUST_1177,18,Male,35,Month-to-month,Electronic check,37.97,1328.95,0,17,0
CUST_1178,29,Female,20,Two year,Credit card,91.74,1834.8,5,2,0
CUST_1179,40,Female,38,Month-to-month,Credit card,41.94,1593.72,3,16,0
CUST_1180,72,Female,1,One year,Electronic check,69.94,69.94,4,15,0
CUST_1181,43,Male,30,Month-to-month,Electronic check,104.78,3143.4,0,12,1
CUST_1182,42,Female,68,One year,Bank transfer,114.68,7798.24,5,21,1
CUST_1183,19,Female,64,Month-to-month,Electronic check,107.98,6910.72,0,16,0
CUST_1184,70,Male,31,One year,Credit card,88.55,2745.05,5,14,0
CUST_1185,30,Male,23,Month-to-month,Bank transfer,63.81,1467.63,5,22,1
CUST_1186,38,Male,65,Month-to-month,Bank transfer,80.71,5246.15,2,28,0
CUST_1187,52,Female,11,One year,Mailed check,87.83,966.13,1,14,0
CUST_1188,38,Female,48,Two year,Credit card,32.31,1550.88,1,25,0
CUST_1189,61,Female,15,Month-to-month,Bank transfer,103.17,1547.55,1,12,0
CUST_1190,62,Male,23,Month-to-month,Credit card,88.27,2030.21,3,15,1
CUST_1191,38,Male,19,Month-to-month,Electronic check,85.56,1625.64,4,20,1
CUST_1192,46,Male,28,One year,Credit card,38.07,1065.96,5,18,0
CUST_1193,47,Male,7,One year,Mailed check,101.98,713.86,0,10,1
CUST_1194,73,Female,68,Month-to-month,Mailed check,79.52,5407.36,4,10,0
CUST_1195,43,Male,15,One year,Mailed check,62.47,937.05,1,8,0
CUST_1196,66,Female,37,Month-to-month,Credit card,104.04,3849.48,3,7,0
CUST_1197,50,Male,69,Month-to-month,Bank transfer,108.23,7467.87,0,23,0
CUST_1198,39,Female,37,One year,Credit card,48.56,1796.72,2,10,1
CUST_1199,42,Female,64,Month-to-month,Electronic check,90.83,5813.12,1,22,0
CUST_1200,58,Male,24,Month-to-month,Bank transfer,84.29,2022.96,5,10,1
CUST_1201,54,Male,36,Month-to-month,Credit card,63.03,2269.08,5,9,1
CUST_1202,30,Male,60,Month-to-month,Electronic check,36.29,2177.4,4,8,1
CUST_1203,20,Female,70,Month-to-month,Credit card,89.57,6269.9,0,3,0
CUST_1204,47,Female,8,One year,Mailed check,116.19,929.52,4,29,1
CUST_1205,47,Male,55,One year,Electronic check,57.08,3139.4,3,3,0
CUST_1206,62,Male,5,One year,Credit card,78.6,393.0,0,21,0
CUST_1207,49,Male,16,One year,Credit card,93.79,1500.64,5,4,1
CUST_1208,67,Male,66,Month-to-month,Mailed check,114.33,7545.78,0,1,0
CUST_1209,21,Female,55,Month-to-month,Mailed check,74.73,4110.15,5,28,0
CUST_1210,59,Female,49,Month-to-month,Mailed check,86.52,4239.48,5,24,1
CUST_1211,24,Female,14,Month-to-month,Electronic check,32.06,448.84,2,2,1
CUST_1212,31,Female,10,Two year,Electronic check,73.14,731.4,0,4,0
CUST_1213,63,Male,52,One year,Electronic check,104.27,5422.04,4,21,1
CUST_1214,38,Female,68,Month-to-month,Credit card,37.2,2529.6,3,28,0
CUST_1215,23,Female,43,One year,Credit card,62.83,2701.69,2,5,0
CUST_1216,27,Male,2,Month-to-month,Mailed check,35.2,70.4,0,23,1
CUST_1217,63,Male,7,One year,Credit card,85.62,599.34,3,7,1
CUST_1218,54,Male,52,Month-to-month,Credit card,77.43,4026.36,1,5,1
CUST_1219,24,Male,14,Month-to-month,Electronic check,99.24,1389.36,5,23,1
CUST_1220,44,Male,21,One year,Mailed check,47.07,988.47,4,1,1
CUST_1221,70,Female,45,Month-to-month,Electronic check,39.88,1794.6,3,11,0
CUST_1222,69,Female,55,Month-to-month,Mailed check,43.5,2392.5,3,16,0
CUST_1223,69,Male,38,Month-to-month,Mailed check,110.29,4191.02,0,17,0
CUST_1224,58,Male,2,Month-to-month,Electronic check,55.14,110.28,1,26,0
CUST_1225,72,Female,8,Two year,Credit card,50.43,403.44,0,28,0
CUST_1226,62,Male,69,One year,Electronic check,69.89,4822.41,4,8,1
CUST_1227,41,Male,24,Month-to-month,Credit card,96.38,2313.12,1,14,0
CUST_1228,69,Male,7,One year,Bank transfer,45.67,319.69,4,5,1
CUST_1229,55,Male,8,One year,Electronic check,117.84,942.72,1,3,1
CUST_1230,21,Female,41,Two year,Bank transfer,33.78,1384.98,1,10,0
CUST_1231,71,Male,53,Two year,Credit card,103.06,5462.18,3,2,0
CUST_1232,32,Male,40,One year,Electronic check,63.5,2540.0,2,14,0
CUST_1233,47,Female,44,Month-to-month,Mailed check,31.14,1370.16,4,3,0
CUST_1234,47,Male,39,Two year,Electronic check,78.96,3079.44,4,13,1
CUST_1235,49,Male,22,Two year,Mailed check,78.56,1728.32,4,18,1
CUST_1236,38,Male,52,Two year,Bank transfer,73.96,3845.92,3,13,0
CUST_1237,20,Male,19,Month-to-month,Mailed check,108.6,2063.4,0,5,1
CUST_1238,59,Female,16,Two year,Credit card,95.38,1526.08,0,4,0
CUST_1239,60,Male,10,One year,Mailed check,85.44,854.4,2,2,1
CUST_1240,30,Male,36,Month-to-month,Mailed check,105.6,3801.6,3,17,0
CUST_1241,48,Male,70,Two year,Electronic check,41.22,2885.4,4,4,0
CUST_1242,41,Female,26,Month-to-month,Electronic check,30.17,784.42,4,10,0
CUST_1243,37,Male,71,Month-to-month,Mailed check,95.11,6752.81,4,16,1
CUST_1244,69,Female,24,One year,Mailed check,84.19,2020.56,3,28,1
CUST_1245,41,Male,30,Two year,Electronic check,100.98,3029.4,2,16,0
CUST_1246,47,Male,55,Month-to-month,Bank transfer,49.86,2742.3,2,28,0
CUST_1247,21,Female,47,Month-to-month,Mailed check,119.2,5602.4,3,11,0
CUST_1248,43,Female,69,Month-to-month,Electronic check,118.17,8153.73,2,13,0
CUST_1249,23,Male,51,Two year,Mailed check,106.75,5444.25,1,19,0
CUST_1250,54,Female,49,Month-to-month,Credit card,73.47,3600.03,5,26,1
CUST_1251,18,Female,57,Month-to-month,Electronic check,44.3,2525.1,3,12,1
CUST_1252,48,Female,24,Month-to-month,Electronic check,36.21,869.04,3,10,1
CUST_1253,45,Female,10,Month-to-month,Mailed check,68.6,686.0,0,13,1
CUST_1254,26,Male,56,Month-to-month,Mailed check,111.58,6248.48,0,21,0
CUST_1255,32,Female,32,One year,Credit card,41.52,1328.64,4,10,0
CUST_1256,73,Female,14,One year,Mailed check,118.16,1654.24,4,3,1
CUST_1257,68,Male,12,Month-to-month,Electronic check,31.98,383.76,4,4,1
CUST_1258,74,Male,33,One year,Electronic check,50.47,1665.51,3,26,0
CUST_1259,51,Female,70,Two year,Mailed check,44.92,3144.4,1,22,0
CUST_1260,19,Female,16,Month-to-month,Electronic check,97.44,1559.04,3,24,1
CUST_1261,52,Female,63,Month-to-month,Credit card,53.28,3356.64,3,26,0
CUST_1262,63,Female,15,Month-to-month,Electronic check,89.37,1340.55,3,28,1
CUST_1263,19,Male,3,Two year,Electronic check,65.17,195.51,2,6,0
CUST_1264,40,Male,50,Month-to-month,Electronic check,116.8,5840.0,3,10,0
CUST_1265,54,Male,55,One year,Bank transfer,112.36,6179.8,1,10,0
CUST_1266,23,Female,2,Month-to-month,Bank transfer,62.68,125.36,2,18,1
CUST_1267,72,Female,8,Two year,Credit card,103.83,830.64,4,4,0
CUST_1268,63,Female,19,Two year,Credit card,96.58,1835.02,0,13,0
CUST_1269,48,Male,27,One year,Bank transfer,77.47,2091.69,0,20,0
CUST_1270,22,Male,61,Month-to-month,Electronic check,103.72,6326.92,1,6,0
CUST_1271,64,Female,3,Two year,Mailed check,45.64,136.92,4,28,0
CUST_1272,50,Male,35,Month-to-month,Electronic check,96.57,3379.95,1,26,0
CUST_1273,34,Male,11,Two year,Bank transfer,87.07,957.77,3,29,0
CUST_1274,19,Male,40,Month-to-month,Bank transfer,45.74,1829.6,0,20,1
CUST_1275,20,Female,58,One year,Mailed check,62.43,3620.94,4,3,0
CUST_1276,70,Female,14,Two year,Electronic check,98.95,1385.3,2,28,0
CUST_1277,44,Male,59,Month-to-month,Credit card,64.16,3785.44,5,4,1
CUST_1278,52,Male,30,Two year,Bank transfer,68.03,2040.9,0,8,0
CUST_1279,65,Male,51,Two year,Bank transfer,102.44,5224.44,3,13,0
CUST_1280,26,Male,19,Two year,Mailed check,49.66,943.54,4,29,1
CUST_1281,50,Female,52,Month-to-month,Bank transfer,36.68,1907.36,0,27,0
CUST_1282,58,Female,68,Two year,Mailed check,90.1,6126.8,5,22,0
CUST_1283,47,Female,35,Month-to-month,Mailed check,107.01,3745.35,4,5,1
CUST_1284,54,Male,44,Month-to-month,Electronic check,77.27,3399.88,0,4,0
CUST_1285,63,Male,15,One year,Mailed check,44.83,672.45,5,8,0
CUST_1286,55,Female,29,One year,Bank transfer,76.11,2207.19,3,4,0
CUST_1287,19,Female,34,Month-to-month,Electronic check,75.56,2569.04,5,6,0
CUST_1288,35,Male,61,Month-to-month,Mailed check,111.66,6811.26,2,28,0
CUST_1289,52,Female,14,One year,Electronic check,72.69,1017.66,0,13,0
CUST_1290,66,Female,62,Two year,Credit card,39.72,2462.64,1,7,0
CUST_1291,60,Female,9,Two year,Electronic check,85.54,769.86,4,19,0
CUST_1292,72,Male,39,Month-to-month,Bank transfer,34.04,1327.56,2,13,0
CUST_1293,70,Male,12,One year,Electronic check,104.14,1249.68,3,26,0
CUST_1294,42,Male,46,Month-to-month,Electronic check,104.66,4814.36,0,15,0
CUST_1295,50,Male,36,Month-to-month,Bank transfer,83.67,3012.12,3,17,1
CUST_1296,68,Male,41,Two year,Bank transfer,88.15,3614.15,1,2,0
CUST_1297,68,Female,39,Two year,Credit card,87.41,3408.99,4,2,0
CUST_1298,20,Female,40,Two year,Electronic check,67.98,2719.2,2,11,1
CUST_1299,38,Female,49,Month-to-month,Electronic check,95.63,4685.87,0,6,0
CUST_1300,71,Male,18,Month-to-month,Electronic check,54.78,986.04,4,6,0
CUST_1301,20,Male,28,One year,Electronic check,68.79,1926.12,2,16,1
CUST_1302,74,Female,33,One year,Mailed check,45.02,1485.66,4,7,1
CUST_1303,35,Female,35,Month-to-month,Bank transfer,101.25,3543.75,2,17,1
CUST_1304,22,Female,34,Two year,Credit card,118.92,4043.28,0,4,0
CUST_1305,63,Female,64,Month-to-month,Bank transfer,32.1,2054.4,2,29,0
CUST_1306,47,Female,37,Two year,Electronic check,72.66,2688.42,5,4,1
CUST_1307,64,Female,17,Month-to-month,Credit card,99.62,1693.54,4,5,1
CUST_1308,30,Female,53,Two year,Bank transfer,62.06,3289.18,1,13,0
CUST_1309,56,Female,1,One year,Credit card,119.97,119.97,4,15,0
CUST_1310,53,Male,17,One year,Mailed check,86.11,1463.87,0,24,0
CUST_1311,45,Male,17,One year,Mailed check,50.5,858.5,2,21,0
CUST_1312,71,Male,47,Two year,Electronic check,97.13,4565.11,3,5,0
CUST_1313,29,Female,17,Two year,Mailed check,118.29,2010.93,3,20,0
CUST_1314,72,Female,33,One year,Bank transfer,64.79,2138.07,2,25,0
CUST_1315,44,Female,51,One year,Bank transfer,81.62,4162.62,4,3,1
CUST_1316,26,Female,45,Month-to-month,Electronic check,56.86,2558.7,2,6,0
CUST_1317,39,Male,67,One year,Mailed check,86.93,5824.31,4,16,0
CUST_1318,58,Female,35,Month-to-month,Electronic check,101.41,3549.35,2,19,0
CUST_1319,32,Male,13,One year,Electronic check,103.97,1351.61,0,1,0
CUST_1320,19,Male,23,Month-to-month,Mailed check,55.23,1270.29,3,6,0
CUST_1321,30,Male,34,Month-to-month,Bank transfer,77.03,2619.02,1,8,1
CUST_1322,51,Female,16,Month-to-month,Mailed check,36.56,584.96,4,24,1
CUST_1323,25,Male,55,Two year,Electronic check,82.49,4536.95,0,17,0
CUST_1324,70,Male,21,Month-to-month,Bank transfer,88.3,1854.3,5,17,1
CUST_1325,53,Female,54,Month-to-month,Credit card,77.37,4177.98,1,28,1
CUST_1326,70,Female,22,One year,Credit card,42.86,942.92,1,12,1
CUST_1327,51,Male,49,Month-to-month,Bank transfer,47.01,2303.49,4,26,0
CUST_1328,39,Female,50,Month-to-month,Mailed check,52.21,2610.5,0,29,0
CUST_1329,21,Female,15,Two year,Bank transfer,111.89,1678.35,3,19,1
CUST_1330,40,Female,29,Month-to-month,Bank transfer,105.98,3073.42,1,15,0
CUST_1331,50,Female,11,Two year,Bank transfer,114.96,1264.56,0,21,0
CUST_1332,36,Female,37,Month-to-month,Electronic check,74.87,2770.19,3,9,0
CUST_1333,52,Female,71,One year,Mailed check,79.69,5657.99,3,2,0
CUST_1334,26,Female,54,Two year,Electronic check,101.66,5489.64,4,13,0
CUST_1335,35,Male,28,Two year,Credit card,65.56,1835.68,5,22,0
CUST_1336,38,Female,13,Month-to-month,Mailed check,100.38,1304.94,4,12,1
CUST_1337,55,Female,2,Month-to-month,Credit card,115.4,230.8,2,25,0
CUST_1338,55,Male,12,One year,Credit card,95.24,1142.88,0,4,0
CUST_1339,72,Female,16,One year,Credit card,41.84,669.44,3,27,0
CUST_1340,59,Male,47,Two year,Mailed check,46.36,2178.92,4,25,1
CUST_1341,29,Female,43,One year,Electronic check,117.68,5060.24,2,9,0
CUST_1342,25,Male,45,Month-to-month,Credit card,110.95,4992.75,4,9,1
CUST_1343,40,Female,4,Two year,Electronic check,51.52,206.08,3,18,0
CUST_1344,49,Female,22,Month-to-month,Bank transfer,95.31,2096.82,1,25,1
CUST_1345,28,Male,53,One year,Credit card,64.93,3441.29,3,11,0
